Timestamp,Person_ID,Behavior,Rating
2024-11-09 15:08:25,1,At-Desk-Working,10
2024-11-09 15:08:26,1,At-Desk-Working,10
2024-11-09 15:08:29,1,At-Desk-Working,10
2024-11-09 15:08:30,1,At-Desk-Working,10
2024-11-09 15:08:31,1,At-Desk-Working,10
2024-11-09 15:08:32,1,At-Desk-Working,10
2024-11-09 15:08:35,1,At-Desk-Working,10
2024-11-09 15:08:36,1,At-Desk-Working,10
2024-11-09 15:08:37,1,At-Desk-Working,10
2024-11-09 15:08:38,1,At-Desk-Working,10
2024-11-09 15:08:40,1,At-Desk-Working,10
2024-11-09 15:08:42,1,At-Desk-Working,10
2024-11-09 15:08:43,1,At-Desk-Working,10
2024-11-09 15:08:44,1,At-Desk-Working,10
2024-11-09 15:08:47,1,At-Desk-Working,10
2024-11-09 15:08:48,1,At-Desk-Working,10
2024-11-09 15:08:49,1,At-Desk-Working,10
2024-11-09 15:08:50,1,At-Desk-Working,10
2024-11-09 15:08:52,1,At-Desk-Working,10
2024-11-09 15:08:54,1,At-Desk-Working,10
2024-11-09 15:08:55,1,At-Desk-Working,10
2024-11-09 15:08:56,1,At-Desk-Working,10
